Temperature Data for Maldives (derived from WMO normals and GSA data);;;;;;;
;;;;
Provider;Generated from WMO Climate Normals 1981-2010;;;;;;;;;;
2024.0;1.0;13.0;8.0;27.98;27.98;26.98;28.98;2;24.0;80;4.5
2024.0;1.0;13.0;9.0;29.05;29.05;28.05;30.05;2;25.1;80;4.5
2024.0;1.0;13.0;10.0;29.59;29.59;28.59;30.59;2;25.6;80;4.5
2024.0;1.0;13.0;11.0;30.74;30.74;29.74;31.74;2;26.7;80;4.5
2024.0;1.0;13.0;12.0;29.68;29.68;28.68;30.68;2;25.7;80;4.5
2024.0;1.0;13.0;13.0;31.21;31.21;30.21;32.21;2;27.2;80;4.5
2024.0;1.0;13.0;14.0;30.03;30.03;29.03;31.03;2;26.0;80;4.5
2024.0;1.0;13.0;15.0;29.83;29.83;28.83;30.83;2;25.8;80;4.5
2024.0;1.0;13.0;16.0;30.17;30.17;29.17;31.17;2;26.2;80;4.5
2024.0;1.0;13.0;17.0;30.21;30.21;29.21;31.21;2;26.2;80;4.5
2024.0;1.0;13.0;18.0;30.27;30.27;29.27;31.27;2;26.3;80;4.5
2024.0;1.0;13.0;19.0;30.08;30.08;29.08;31.08;2;26.1;80;4.5
2024.0;1.0;13.0;20.0;28.66;28.66;27.66;29.66;2;24.7;80;4.5
2024.0;1.0;13.0;21.0;28.97;28.97;27.97;29.97;2;25.0;80;4.5
2024.0;1.0;13.0;22.0;27.71;27.71;26.71;28.71;2;23.7;80;4.5
2024.0;1.0;13.0;23.0;27.08;27.08;26.08;28.08;2;23.1;80;4.5
2024.0;1.0;13.0;24.0;26.83;26.83;25.83;27.83;2;22.8;80;4.5
2024.0;1.0;14.0;1.0;27.07;27.07;26.07;28.07;2;23.1;80;4.5
2024.0;1.0;14.0;2.0;26.91;26.91;25.91;27.91;2;22.9;80;4.5
2024.0;1.0;14.0;3.0;26.09;26.09;25.09;27.09;2;22.1;80;4.5
2024.0;1.0;14.0;4.0;26.21;26.21;25.21;27.21;2;22.2;80;4.5
2024.0;1.0;14.0;5.0;27.79;27.79;26.79;28.79;2;23.8;80;4.5
2024.0;1.0;14.0;6.0;27.04;27.04;26.04;28.04;2;23.0;80;4.5
2024.0;1.0;14.0;7.0;27.98;27.98;26.98;28.98;2;24.0;80;4.5
2024.0;1.0;14.0;8.0;27.86;27.86;26.86;28.86;2;23.9;80;4.5
2024.0;1.0;14.0;9.0;28.18;28.18;27.18;29.18;2;24.2;80;4.5
2024.0;1.0;14.0;10.0;29.25;29.25;28.25;30.25;2;25.2;80;4.5
2024.0;1.0;14.0;11.0;30.05;30.05;29.05;31.05;2;26.1;80;4.5
2024.0;1.0;14.0;12.0;28.89;28.89;27.89;29.89;2;24.9;80;4.5
2024.0;1.0;14.0;13.0;31.08;31.08;30.08;32.08;2;27.1;80;4.5
2024.0;1.0;14.0;14.0;30.99;30.99;29.99;31.99;2;27.0;80;4.5
2024.0;1.0;14.0;15.0;30.39;30.39;29.39;31.39;2;26.4;80;4.5
2024.0;1.0;14.0;16.0;30.28;30.28;29.28;31.28;2;26.3;80;4.5
2024.0;1.0;14.0;17.0;29.4;29.4;28.40;30.40;2;25.4;80;4.5
2024.0;1.0;14.0;18.0;28.69;28.69;27.69;29.69;2;24.7;80;4.5
2024.0;1.0;14.0;19.0;29.42;29.42;28.42;30.42;2;25.4;80;4.5
2024.0;1.0;14.0;20.0;29.16;29.16;28.16;30.16;2;25.2;80;4.5
2024.0;1.0;14.0;21.0;28.02;28.02;27.02;29.02;2;24.0;80;4.5
2024.0;1.0;14.0;22.0;27.51;27.51;26.51;28.51;2;23.5;80;4.5
2024.0;1.0;14.0;23.0;27.41;27.41;26.41;28.41;2;23.4;80;4.5
2024.0;1.0;14.0;24.0;27.96;27.96;26.96;28.96;2;24.0;80;4.5
2024.0;1.0;15.0;1.0;26.63;26.63;25.63;27.63;2;22.6;80;4.5
2024.0;1.0;15.0;2.0;26.16;26.16;25.16;27.16;2;22.2;80;4.5
2024.0;1.0;15.0;3.0;26.34;26.34;25.34;27.34;2;22.3;80;4.5
2024.0;1.0;15.0;4.0;26.4;26.4;25.40;27.40;2;22.4;80;4.5
2024.0;1.0;15.0;5.0;26.26;26.26;25.26;27.26;2;22.3;80;4.5
2024.0;1.0;15.0;6.0;26.96;26.96;25.96;27.96;2;23.0;80;4.5
2024.0;1.0;15.0;7.0;27.49;27.49;26.49;28.49;2;23.5;80;4.5
2024.0;1.0;15.0;8.0;28.22;28.22;27.22;29.22;2;24.2;80;4.5
2024.0;1.0;15.0;9.0;28.55;28.55;27.55;29.55;2;24.6;80;4.5
2024.0;1.0;15.0;10.0;29.22;29.22;28.22;30.22;2;25.2;80;4.5
2024.0;1.0;15.0;11.0;29.72;29.72;28.72;30.72;2;25.7;80;4.5
2024.0;1.0;15.0;12.0;29.74;29.74;28.74;30.74;2;25.7;80;4.5
2024.0;1.0;15.0;13.0;31.05;31.05;30.05;32.05;2;27.1;80;4.5
2024.0;1.0;15.0;14.0;30.45;30.45;29.45;31.45;2;26.4;80;4.5
2024.0;1.0;15.0;15.0;30.01;30.01;29.01;31.01;2;26.0;80;4.5
2024.0;1.0;15.0;16.0;29.75;29.75;28.75;30.75;2;25.8;80;4.5
2024.0;1.0;15.0;17.0;31.29;31.29;30.29;32.29;2;27.3;80;4.5
2024.0;1.0;15.0;18.0;28.82;28.82;27.82;29.82;2;24.8;80;4.5
2024.0;1.0;15.0;19.0;30.59;30.59;29.59;31.59;2;26.6;80;4.5
2024.0;1.0;15.0;20.0;29.07;29.07;28.07;30.07;2;25.1;80;4.5
2024.0;1.0;15.0;21.0;28.87;28.87;27.87;29.87;2;24.9;80;4.5
2024.0;1.0;15.0;22.0;27.54;27.54;26.54;28.54;2;23.5;80;4.5
2024.0;1.0;15.0;23.0;28.07;28.07;27.07;29.07;2;24.1;80;4.5
2024.0;1.0;15.0;24.0;27.21;27.21;26.21;28.21;2;23.2;80;4.5
2024.0;1.0;16.0;1.0;26.44;26.44;25.44;27.44;2;22.4;80;4.5
2024.0;1.0;16.0;2.0;26.84;26.84;25.84;27.84;2;22.8;80;4.5
2024.0;1.0;16.0;3.0;26.18;26.18;25.18;27.18;2;22.2;80;4.5
2024.0;1.0;16.0;4.0;26.54;26.54;25.54;27.54;2;22.5;80;4.5
2024.0;1.0;16.0;5.0;25.88;25.88;24.88;26.88;2;21.9;80;4.5
2024.0;1.0;16.0;6.0;27.54;27.54;26.54;28.54;2;23.5;80;4.5
2024.0;1.0;16.0;7.0;27.3;27.3;26.30;28.30;2;23.3;80;4.5
2024.0;1.0;16.0;8.0;27.37;27.37;26.37;28.37;2;23.4;80;4.5
2024.0;1.0;16.0;9.0;28.4;28.4;27.40;29.40;2;24.4;80;4.5
2024.0;1.0;16.0;10.0;29.16;29.16;28.16;30.16;2;25.2;80;4.5
2024.0;1.0;16.0;11.0;28.86;28.86;27.86;29.86;2;24.9;80;4.5
2024.0;1.0;16.0;12.0;29.73;29.73;28.73;30.73;2;25.7;80;4.5
2024.0;1.0;16.0;13.0;30.04;30.04;29.04;31.04;2;26.0;80;4.5
2024.0;1.0;16.0;14.0;29.97;29.97;28.97;30.97;2;26.0;80;4.5
2024.0;1.0;16.0;15.0;31.44;31.44;30.44;32.44;2;27.4;80;4.5
2024.0;1.0;16.0;16.0;30.78;30.78;29.78;31.78;2;26.8;80;4.5
2024.0;1.0;16.0;17.0;30.59;30.59;29.59;31.59;2;26.6;80;4.5
2024.0;1.0;16.0;18.0;29.1;29.1;28.10;30.10;2;25.1;80;4.5
2024.0;1.0;16.0;19.0;29.63;29.63;28.63;30.63;2;25.6;80;4.5
2024.0;1.0;16.0;20.0;28.59;28.59;27.59;29.59;2;24.6;80;4.5
2024.0;1.0;16.0;21.0;28.02;28.02;27.02;29.02;2;24.0;80;4.5
2024.0;1.0;16.0;22.0;28.46;28.46;27.46;29.46;2;24.5;80;4.5
2024.0;1.0;16.0;23.0;27.64;27.64;26.64;28.64;2;23.6;80;4.5
2024.0;1.0;16.0;24.0;27.27;27.27;26.27;28.27;2;23.3;80;4.5
2024.0;1.0;17.0;1.0;26.89;26.89;25.89;27.89;2;22.9;80;4.5
2024.0;1.0;17.0;2.0;26.63;26.63;25.63;27.63;2;22.6;80;4.5
2024.0;1.0;17.0;3.0;25.8;25.8;24.80;26.80;2;21.8;80;4.5
2024.0;1.0;17.0;4.0;26.03;26.03;25.03;27.03;2;22.0;80;4.5
2024.0;1.0;17.0;5.0;27.26;27.26;26.26;28.26;2;23.3;80;4.5
2024.0;1.0;17.0;6.0;27.58;27.58;26.58;28.58;2;23.6;80;4.5
2024.0;1.0;17.0;7.0;27.18;27.18;26.18;28.18;2;23.2;80;4.5
2024.0;1.0;17.0;8.0;27.8;27.8;26.80;28.80;2;23.8;80;4.5
2024.0;1.0;17.0;9.0;28.59;28.59;27.59;29.59;2;24.6;80;4.5
2024.0;1.0;17.0;10.0;29.6;29.6;28.60;30.60;2;25.6;80;4.5
2024.0;1.0;17.0;11.0;29.68;29.68;28.68;30.68;2;25.7;80;4.5
2024.0;1.0;17.0;12.0;29.75;29.75;28.75;30.75;2;25.8;80;4.5
2024.0;1.0;17.0;13.0;30.1;30.1;29.10;31.10;2;26.1;80;4.5
2024.0;1.0;17.0;14.0;30.95;30.95;29.95;31.95;2;26.9;80;4.5
2024.0;1.0;17.0;15.0;29.48;29.48;28.48;30.48;2;25.5;80;4.5
2024.0;1.0;17.0;16.0;31.0;31.0;30.00;32.00;2;27.0;80;4.5
2024.0;1.0;17.0;17.0;30.2;30.2;29.20;31.20;2;26.2;80;4.5
2024.0;1.0;17.0;18.0;29.39;29.39;28.39;30.39;2;25.4;80;4.5
2024.0;1.0;17.0;19.0;29.72;29.72;28.72;30.72;2;25.7;80;4.5
2024.0;1.0;17.0;20.0;28.3;28.3;27.30;29.30;2;24.3;80;4.5
2024.0;1.0;17.0;21.0;27.86;27.86;26.86;28.86;2;23.9;80;4.5
2024.0;1.0;17.0;22.0;27.44;27.44;26.44;28.44;2;23.4;80;4.5
2024.0;1.0;17.0;23.0;26.81;26.81;25.81;27.81;2;22.8;80;4.5
2024.0;1.0;17.0;24.0;27.11;27.11;26.11;28.11;2;23.1;80;4.5
2024.0;1.0;18.0;1.0;27.71;27.71;26.71;28.71;2;23.7;80;4.5
2024.0;1.0;18.0;2.0;26.41;26.41;25.41;27.41;2;22.4;80;4.5
2024.0;1.0;18.0;3.0;26.89;26.89;25.89;27.89;2;22.9;80;4.5
2024.0;1.0;18.0;4.0;25.97;25.97;24.97;26.97;2;22.0;80;4.5
2024.0;1.0;18.0;5.0;26.13;26.13;25.13;27.13;2;22.1;80;4.5
2024.0;1.0;18.0;6.0;27.25;27.25;26.25;28.25;2;23.2;80;4.5
2024.0;1.0;18.0;7.0;27.98;27.98;26.98;28.98;2;24.0;80;4.5
2024.0;1.0;18.0;8.0;27.51;27.51;26.51;28.51;2;23.5;80;4.5
2024.0;1.0;18.0;9.0;28.07;28.07;27.07;29.07;2;24.1;80;4.5
2024.0;1.0;18.0;10.0;29.79;29.79;28.79;30.79;2;25.8;80;4.5
2024.0;1.0;18.0;11.0;29.07;29.07;28.07;30.07;2;25.1;80;4.5
2024.0;1.0;18.0;12.0;30.01;30.01;29.01;31.01;2;26.0;80;4.5
2024.0;1.0;18.0;13.0;29.82;29.82;28.82;30.82;2;25.8;80;4.5
2024.0;1.0;18.0;14.0;30.21;30.21;29.21;31.21;2;26.2;80;4.5
2024.0;1.0;18.0;15.0;30.23;30.23;29.23;31.23;2;26.2;80;4.5
2024.0;1.0;18.0;16.0;30.43;30.43;29.43;31.43;2;26.4;80;4.5
2024.0;1.0;18.0;17.0;30.17;30.17;29.17;31.17;2;26.2;80;4.5
2024.0;1.0;18.0;18.0;29.54;29.54;28.54;30.54;2;25.5;80;4.5
2024.0;1.0;18.0;19.0;28.91;28.91;27.91;29.91;2;24.9;80;4.5
2024.0;1.0;18.0;20.0;29.06;29.06;28.06;30.06;2;25.1;80;4.5
2024.0;1.0;18.0;21.0;29.19;29.19;28.19;30.19;2;25.2;80;4.5
2024.0;1.0;18.0;22.0;28.24;28.24;27.24;29.24;2;24.2;80;4.5
2024.0;1.0;18.0;23.0;27.89;27.89;26.89;28.89;2;23.9;80;4.5
2024.0;1.0;18.0;24.0;27.5;27.5;26.50;28.50;2;23.5;80;4.5
2024.0;1.0;19.0;1.0;26.72;26.72;25.72;27.72;2;22.7;80;4.5
2024.0;1.0;19.0;2.0;27.1;27.1;26.10;28.10;2;23.1;80;4.5
2024.0;1.0;19.0;3.0;27.79;27.79;26.79;28.79;2;23.8;80;4.5
2024.0;1.0;19.0;4.0;26.72;26.72;25.72;27.72;2;22.7;80;4.5
2024.0;1.0;19.0;5.0;26.92;26.92;25.92;27.92;2;22.9;80;4.5
2024.0;1.0;19.0;6.0;26.98;26.98;25.98;27.98;2;23.0;80;4.5
2024.0;1.0;19.0;7.0;27.76;27.76;26.76;28.76;2;23.8;80;4.5
2024.0;1.0;19.0;8.0;27.82;27.82;26.82;28.82;2;23.8;80;4.5
2024.0;1.0;19.0;9.0;28.48;28.48;27.48;29.48;2;24.5;80;4.5
2024.0;1.0;19.0;10.0;28.82;28.82;27.82;29.82;2;24.8;80;4.5
2024.0;1.0;19.0;11.0;29.82;29.82;28.82;30.82;2;25.8;80;4.5
2024.0;1.0;19.0;12.0;30.29;30.29;29.29;31.29;2;26.3;80;4.5
2024.0;1.0;19.0;13.0;30.02;30.02;29.02;31.02;2;26.0;80;4.5
2024.0;1.0;19.0;14.0;31.59;31.59;30.59;32.59;2;27.6;80;4.5
2024.0;1.0;19.0;15.0;30.72;30.72;29.72;31.72;2;26.7;80;4.5
2024.0;1.0;19.0;16.0;29.93;29.93;28.93;30.93;2;25.9;80;4.5
2024.0;1.0;19.0;17.0;29.88;29.88;28.88;30.88;2;25.9;80;4.5
2024.0;1.0;19.0;18.0;29.81;29.81;28.81;30.81;2;25.8;80;4.5
2024.0;1.0;19.0;19.0;31.21;31.21;30.21;32.21;2;27.2;80;4.5
2024.0;1.0;19.0;20.0;28.62;28.62;27.62;29.62;2;24.6;80;4.5
2024.0;1.0;19.0;21.0;29.3;29.3;28.30;30.30;2;25.3;80;4.5
2024.0;1.0;19.0;22.0;28.08;28.08;27.08;29.08;2;24.1;80;4.5
2024.0;1.0;19.0;23.0;27.39;27.39;26.39;28.39;2;23.4;80;4.5
2024.0;1.0;19.0;24.0;26.92;26.92;25.92;27.92;2;22.9;80;4.5
2024.0;1.0;20.0;1.0;25.81;25.81;24.81;26.81;2;21.8;80;4.5
2024.0;1.0;20.0;2.0;26.33;26.33;25.33;27.33;2;22.3;80;4.5
2024.0;1.0;20.0;3.0;26.67;26.67;25.67;27.67;2;22.7;80;4.5
2024.0;1.0;20.0;4.0;27.09;27.09;26.09;28.09;2;23.1;80;4.5
2024.0;1.0;20.0;5.0;27.34;27.34;26.34;28.34;2;23.3;80;4.5
2024.0;1.0;20.0;6.0;27.26;27.26;26.26;28.26;2;23.3;80;4.5
2024.0;1.0;20.0;7.0;27.3;27.3;26.30;28.30;2;23.3;80;4.5
2024.0;1.0;20.0;8.0;28.05;28.05;27.05;29.05;2;24.1;80;4.5
2024.0;1.0;20.0;9.0;28.59;28.59;27.59;29.59;2;24.6;80;4.5
2024.0;1.0;20.0;10.0;29.26;29.26;28.26;30.26;2;25.3;80;4.5
2024.0;1.0;20.0;11.0;29.6;29.6;28.60;30.60;2;25.6;80;4.5
2024.0;1.0;20.0;12.0;30.26;30.26;29.26;31.26;2;26.3;80;4.5
2024.0;1.0;20.0;13.0;30.5;30.5;29.50;31.50;2;26.5;80;4.5
2024.0;1.0;20.0;14.0;31.47;31.47;30.47;32.47;2;27.5;80;4.5
2024.0;1.0;20.0;15.0;30.83;30.83;29.83;31.83;2;26.8;80;4.5
2024.0;1.0;20.0;16.0;31.22;31.22;30.22;32.22;2;27.2;80;4.5
2024.0;1.0;20.0;17.0;29.28;29.28;28.28;30.28;2;25.3;80;4.5
2024.0;1.0;20.0;18.0;30.24;30.24;29.24;31.24;2;26.2;80;4.5
2024.0;1.0;20.0;19.0;28.9;28.9;27.90;29.90;2;24.9;80;4.5
2024.0;1.0;20.0;20.0;28.65;28.65;27.65;29.65;2;24.6;80;4.5
2024.0;1.0;20.0;21.0;27.81;27.81;26.81;28.81;2;23.8;80;4.5
2024.0;1.0;20.0;22.0;28.05;28.05;27.05;29.05;2;24.1;80;4.5
2024.0;1.0;20.0;23.0;26.58;26.58;25.58;27.58;2;22.6;80;4.5
2024.0;1.0;20.0;24.0;26.67;26.67;25.67;27.67;2;22.7;80;4.5
2024.0;1.0;21.0;1.0;26.92;26.92;25.92;27.92;2;22.9;80;4.5
2024.0;1.0;21.0;2.0;26.81;26.81;25.81;27.81;2;22.8;80;4.5
2024.0;1.0;21.0;3.0;26.6;26.6;25.60;27.60;2;22.6;80;4.5
2024.0;1.0;21.0;4.0;26.76;26.76;25.76;27.76;2;22.8;80;4.5
2024.0;1.0;21.0;5.0;26.2;26.2;25.20;27.20;2;22.2;80;4.5
2024.0;1.0;21.0;6.0;26.59;26.59;25.59;27.59;2;22.6;80;4.5
2024.0;1.0;21.0;7.0;27.43;27.43;26.43;28.43;2;23.4;80;4.5
2024.0;1.0;21.0;8.0;27.52;27.52;26.52;28.52;2;23.5;80;4.5
2024.0;1.0;21.0;9.0;28.97;28.97;27.97;29.97;2;25.0;80;4.5
2024.0;1.0;21.0;10.0;28.9;28.9;27.90;29.90;2;24.9;80;4.5
2024.0;1.0;21.0;11.0;29.15;29.15;28.15;30.15;2;25.1;80;4.5
2024.0;1.0;21.0;12.0;29.92;29.92;28.92;30.92;2;25.9;80;4.5
2024.0;1.0;21.0;13.0;30.27;30.27;29.27;31.27;2;26.3;80;4.5
2024.0;1.0;21.0;14.0;30.68;30.68;29.68;31.68;2;26.7;80;4.5
2024.0;1.0;21.0;15.0;30.16;30.16;29.16;31.16;2;26.2;80;4.5
2024.0;1.0;21.0;16.0;30.66;30.66;29.66;31.66;2;26.7;80;4.5
2024.0;1.0;21.0;17.0;29.67;29.67;28.67;30.67;2;25.7;80;4.5
2024.0;1.0;21.0;18.0;29.9;29.9;28.90;30.90;2;25.9;80;4.5
2024.0;1.0;21.0;19.0;29.03;29.03;28.03;30.03;2;25.0;80;4.5
2024.0;1.0;21.0;20.0;28.74;28.74;27.74;29.74;2;24.7;80;4.5
2024.0;1.0;21.0;21.0;28.34;28.34;27.34;29.34;2;24.3;80;4.5
2024.0;1.0;21.0;22.0;27.81;27.81;26.81;28.81;2;23.8;80;4.5
2024.0;1.0;21.0;23.0;27.68;27.68;26.68;28.68;2;23.7;80;4.5
2024.0;1.0;21.0;24.0;27.83;27.83;26.83;28.83;2;23.8;80;4.5
2024.0;1.0;22.0;1.0;26.93;26.93;25.93;27.93;2;22.9;80;4.5
2024.0;1.0;22.0;2.0;27.41;27.41;26.41;28.41;2;23.4;80;4.5
2024.0;1.0;22.0;3.0;26.25;26.25;25.25;27.25;2;22.2;80;4.5
2024.0;1.0;22.0;4.0;27.61;27.61;26.61;28.61;2;23.6;80;4.5
2024.0;1.0;22.0;5.0;26.6;26.6;25.60;27.60;2;22.6;80;4.5
2024.0;1.0;22.0;6.0;27.38;27.38;26.38;28.38;2;23.4;80;4.5
2024.0;1.0;22.0;7.0;27.16;27.16;26.16;28.16;2;23.2;80;4.5
2024.0;1.0;22.0;8.0;27.83;27.83;26.83;28.83;2;23.8;80;4.5
2024.0;1.0;22.0;9.0;28.72;28.72;27.72;29.72;2;24.7;80;4.5
2024.0;1.0;22.0;10.0;29.02;29.02;28.02;30.02;2;25.0;80;4.5
2024.0;1.0;22.0;11.0;28.77;28.77;27.77;29.77;2;24.8;80;4.5
2024.0;1.0;22.0;12.0;29.87;29.87;28.87;30.87;2;25.9;80;4.5
2024.0;1.0;22.0;13.0;29.6;29.6;28.60;30.60;2;25.6;80;4.5
2024.0;1.0;22.0;14.0;30.73;30.73;29.73;31.73;2;26.7;80;4.5
2024.0;1.0;22.0;15.0;31.59;31.59;30.59;32.59;2;27.6;80;4.5
2024.0;1.0;22.0;16.0;30.04;30.04;29.04;31.04;2;26.0;80;4.5
2024.0;1.0;22.0;17.0;29.86;29.86;28.86;30.86;2;25.9;80;4.5
2024.0;1.0;22.0;18.0;30.46;30.46;29.46;31.46;2;26.5;80;4.5
2024.0;1.0;22.0;19.0;29.04;29.04;28.04;30.04;2;25.0;80;4.5
2024.0;1.0;22.0;20.0;29.76;29.76;28.76;30.76;2;25.8;80;4.5
2024.0;1.0;22.0;21.0;28.14;28.14;27.14;29.14;2;24.1;80;4.5
2024.0;1.0;22.0;22.0;27.13;27.13;26.13;28.13;2;23.1;80;4.5
2024.0;1.0;22.0;23.0;27.13;27.13;26.13;28.13;2;23.1;80;4.5
2024.0;1.0;22.0;24.0;26.86;26.86;25.86;27.86;2;22.9;80;4.5
2024.0;1.0;23.0;1.0;26.06;26.06;25.06;27.06;2;22.1;80;4.5
2024.0;1.0;23.0;2.0;26.42;26.42;25.42;27.42;2;22.4;80;4.5
2024.0;1.0;23.0;3.0;26.82;26.82;25.82;27.82;2;22.8;80;4.5
2024.0;1.0;23.0;4.0;27.01;27.01;26.01;28.01;2;23.0;80;4.5
2024.0;1.0;23.0;5.0;27.7;27.7;26.70;28.70;2;23.7;80;4.5
2024.0;1.0;23.0;6.0;27.19;27.19;26.19;28.19;2;23.2;80;4.5
2024.0;1.0;23.0;7.0;27.98;27.98;26.98;28.98;2;24.0;80;4.5
2024.0;1.0;23.0;8.0;28.02;28.02;27.02;29.02;2;24.0;80;4.5
2024.0;1.0;23.0;9.0;28.24;28.24;27.24;29.24;2;24.2;80;4.5
2024.0;1.0;23.0;10.0;29.37;29.37;28.37;30.37;2;25.4;80;4.5
2024.0;1.0;23.0;11.0;28.43;28.43;27.43;29.43;2;24.4;80;4.5
2024.0;1.0;23.0;12.0;29.77;29.77;28.77;30.77;2;25.8;80;4.5
2024.0;1.0;23.0;13.0;30.66;30.66;29.66;31.66;2;26.7;80;4.5
2024.0;1.0;23.0;14.0;30.33;30.33;29.33;31.33;2;26.3;80;4.5
2024.0;1.0;23.0;15.0;29.98;29.98;28.98;30.98;2;26.0;80;4.5
2024.0;1.0;23.0;16.0;30.35;30.35;29.35;31.35;2;26.4;80;4.5
2024.0;1.0;23.0;17.0;29.41;29.41;28.41;30.41;2;25.4;80;4.5
2024.0;1.0;23.0;18.0;29.61;29.61;28.61;30.61;2;25.6;80;4.5
2024.0;1.0;23.0;19.0;29.66;29.66;28.66;30.66;2;25.7;80;4.5
2024.0;1.0;23.0;20.0;28.72;28.72;27.72;29.72;2;24.7;80;4.5
2024.0;1.0;23.0;21.0;28.19;28.19;27.19;29.19;2;24.2;80;4.5
2024.0;1.0;23.0;22.0;29.01;29.01;28.01;30.01;2;25.0;80;4.5
2024.0;1.0;23.0;23.0;27.58;27.58;26.58;28.58;2;23.6;80;4.5
2024.0;1.0;23.0;24.0;27.31;27.31;26.31;28.31;2;23.3;80;4.5
2024.0;1.0;24.0;1.0;27.11;27.11;26.11;28.11;2;23.1;80;4.5
2024.0;1.0;24.0;2.0;27.22;27.22;26.22;28.22;2;23.2;80;4.5
2024.0;1.0;24.0;3.0;27.4;27.4;26.40;28.40;2;23.4;80;4.5
2024.0;1.0;24.0;4.0;25.59;25.59;24.59;26.59;2;21.6;80;4.5
2024.0;1.0;24.0;5.0;26.57;26.57;25.57;27.57;2;22.6;80;4.5
2024.0;1.0;24.0;6.0;27.0;27.0;26.00;28.00;2;23.0;80;4.5
2024.0;1.0;24.0;7.0;27.02;27.02;26.02;28.02;2;23.0;80;4.5
2024.0;1.0;24.0;8.0;27.9;27.9;26.90;28.90;2;23.9;80;4.5
2024.0;1.0;24.0;9.0;28.69;28.69;27.69;29.69;2;24.7;80;4.5
2024.0;1.0;24.0;10.0;28.41;28.41;27.41;29.41;2;24.4;80;4.5
2024.0;1.0;24.0;11.0;31.04;31.04;30.04;32.04;2;27.0;80;4.5
2024.0;1.0;24.0;12.0;29.66;29.66;28.66;30.66;2;25.7;80;4.5
2024.0;1.0;24.0;13.0;30.04;30.04;29.04;31.04;2;26.0;80;4.5
2024.0;1.0;24.0;14.0;30.85;30.85;29.85;31.85;2;26.9;80;4.5
2024.0;1.0;24.0;15.0;30.05;30.05;29.05;31.05;2;26.1;80;4.5
2024.0;1.0;24.0;16.0;30.22;30.22;29.22;31.22;2;26.2;80;4.5
2024.0;1.0;24.0;17.0;30.69;30.69;29.69;31.69;2;26.7;80;4.5
2024.0;1.0;24.0;18.0;30.25;30.25;29.25;31.25;2;26.2;80;4.5
2024.0;1.0;24.0;19.0;29.73;29.73;28.73;30.73;2;25.7;80;4.5
2024.0;1.0;24.0;20.0;29.44;29.44;28.44;30.44;2;25.4;80;4.5
2024.0;1.0;24.0;21.0;28.21;28.21;27.21;29.21;2;24.2;80;4.5
2024.0;1.0;24.0;22.0;27.86;27.86;26.86;28.86;2;23.9;80;4.5
2024.0;1.0;24.0;23.0;27.44;27.44;26.44;28.44;2;23.4;80;4.5
2024.0;1.0;24.0;24.0;26.88;26.88;25.88;27.88;2;22.9;80;4.5
2024.0;1.0;25.0;1.0;27.44;27.44;26.44;28.44;2;23.4;80;4.5
2024.0;1.0;25.0;2.0;26.34;26.34;25.34;27.34;2;22.3;80;4.5
2024.0;1.0;25.0;3.0;26.97;26.97;25.97;27.97;2;23.0;80;4.5
2024.0;1.0;25.0;4.0;26.35;26.35;25.35;27.35;2;22.4;80;4.5
2024.0;1.0;25.0;5.0;27.08;27.08;26.08;28.08;2;23.1;80;4.5
2024.0;1.0;25.0;6.0;26.89;26.89;25.89;27.89;2;22.9;80;4.5
2024.0;1.0;25.0;7.0;28.35;28.35;27.35;29.35;2;24.4;80;4.5
2024.0;1.0;25.0;8.0;26.79;26.79;25.79;27.79;2;22.8;80;4.5
2024.0;1.0;25.0;9.0;28.59;28.59;27.59;29.59;2;24.6;80;4.5
2024.0;1.0;25.0;10.0;28.81;28.81;27.81;29.81;2;24.8;80;4.5
2024.0;1.0;25.0;11.0;28.45;28.45;27.45;29.45;2;24.4;80;4.5
2024.0;1.0;25.0;12.0;29.63;29.63;28.63;30.63;2;25.6;80;4.5
2024.0;1.0;25.0;13.0;30.28;30.28;29.28;31.28;2;26.3;80;4.5
2024.0;1.0;25.0;14.0;29.96;29.96;28.96;30.96;2;26.0;80;4.5
2024.0;1.0;25.0;15.0;30.95;30.95;29.95;31.95;2;26.9;80;4.5
2024.0;1.0;25.0;16.0;29.99;29.99;28.99;30.99;2;26.0;80;4.5
2024.0;1.0;25.0;17.0;30.48;30.48;29.48;31.48;2;26.5;80;4.5
2024.0;1.0;25.0;18.0;29.83;29.83;28.83;30.83;2;25.8;80;4.5
2024.0;1.0;25.0;19.0;29.7;29.7;28.70;30.70;2;25.7;80;4.5
2024.0;1.0;25.0;20.0;28.68;28.68;27.68;29.68;2;24.7;80;4.5
2024.0;1.0;25.0;21.0;28.65;28.65;27.65;29.65;2;24.6;80;4.5
2024.0;1.0;25.0;22.0;27.89;27.89;26.89;28.89;2;23.9;80;4.5
2024.0;1.0;25.0;23.0;27.62;27.62;26.62;28.62;2;23.6;80;4.5
2024.0;1.0;25.0;24.0;27.3;27.3;26.30;28.30;2;23.3;80;4.5
2024.0;1.0;26.0;1.0;26.37;26.37;25.37;27.37;2;22.4;80;4.5
2024.0;1.0;26.0;2.0;26.47;26.47;25.47;27.47;2;22.5;80;4.5
2024.0;1.0;26.0;3.0;26.08;26.08;25.08;27.08;2;22.1;80;4.5
2024.0;1.0;26.0;4.0;27.63;27.63;26.63;28.63;2;23.6;80;4.5
